comments,id,no,title
,leagueoflegends3,2778011,정글 올라프 재밌게 하는 법.txt
,leagueoflegends3,2778010,도벽제이스가 유독 돈이 잘뜨던데
,leagueoflegends3,2778012,현그마 머리/듀오합니다. (인증)
,leagueoflegends3,2778016,골드가고 싶은 실버있냐
"씨발ㅋㅋㅋㅋㅋㅋㅋ,저거누르면 돌진하다가도 들어가지냐 십ㅋㅋ",leagueoflegends3,2778013,워윅 레전드...gif
"~~ㅊㅇ,""캐리"",잘하네  - dc App",leagueoflegends3,2778015,골드4구간 8연승... 받은칭찬 단2개 JPG
근데 지투가 할듯,leagueoflegends3,2777940,"G2 우승도 괜찮고,,, fpx 우승도 괜찮네 후자가 더 나은듯."
,leagueoflegends3,2777941,뒤틀린숲 할사람 ㄹㅇ
,leagueoflegends3,2777943,전성기 엠비션 지금 lck있으면 어느정도임??
,leagueoflegends3,2777944,모데 레전드.gif
올라프로 마크한건 ㄹㅇ 띠용하더라,leagueoflegends3,2777945,진심 lck코치감독새끼들 개쓸모없긴하네 진짜 ㅋㅋㅋㅋ
"이거랑 먼상관인데 ?,애미씨발년이  - dc App",leagueoflegends3,2777942,구마유시 솔랭 1위는 의미 있는 이유
"나좀 태워줘 승급전만 4번 떨어짐  - dc App,딱 현지인이 삘 잘탄 수준,현지인이 아닌데 왜 현지인 드립치노  - dc App,아니면 골드 플ㅤㄸㅏㄲ 새끼가 실버 1 와서 여포짓 하는 극혐 수준,자기가 캐리해야되기때문",leagueoflegends3,2777915,실버 1 시발새끼들은 왜 버스 거절하는거냐
"덜렁  - dc App,찍  - dc App,혼자해 병신년아,유미 잘함?",leagueoflegends3,2777922,나 여자인데 롤 듀오할사람 있어?
,leagueoflegends3,2777923,솔랭도르) 구마유시 솔랭 여러경기 관전하고 느낀점
,leagueoflegends3,2778009,젠지 리치게이가 잘해야 롤판 살아난다
"아군의 공포,미니언 한정,목꺾기",leagueoflegends3,2777925,피오라 공포네
,leagueoflegends3,2777926,지금 롤 클라 나만 렉 걸림???
심심하잖아,leagueoflegends3,2777967,님들은 프리시즌에도 그냥 랭크 돌릴거?
"마녀미포는 민병대 빗자루 탐?  - dc App,아니,ㄷㄷ... 생각보다 퀄리티가 안좋네  - dc App,부모님 만수무강하신가요?  - dc App,이새끼는 부모가 만수무강 못해서 교육을 못받았나? 왜 갑자기 패드립임?,근데 미포 프레스티지는 최근 건데 월챔구 까서 나온거임??  - dc App,ㅇㅇ,와 개부럽눙...  - dc App,너도 좋은일생기길 빈다,ㄱㅅㄱㅅ 카이사 프레스티지 나오면 좋겠음 ㅠㅜ  - dc App",leagueoflegends3,2777927,미포 프레스티지 스킨 ㄹㅇㅍㅌ 후기남긴다ㅇㅇ
"서폿엘리스하는팀보고 lck화 이지랄하네 그리핀은 원래 스타일이 그랬는데,니가 LCK 그 자체지 그리핀 게이같다고 까는데 G2가 내놓은 정답이 그거였음,지투가 내놓은 정답이 게이라고? 병신새끼,겜볼줄 모르는 병신이네 이새끼,반박은 못하고 욕만 www",leagueoflegends3,2777929,요즘 LCK 보면 하승진이 유튜브에 올린거 생각남
